REGION_RESIDENCIA,GLOSA_REGION_RESIDENCIA,mean,count,metodo,media_observada_cm,cambio_media_cm
9,De La Araucanía,48.85255981157803,40335,mediana_general,48.85245372897335,0.00010608260468103481
10,De Los Lagos,49.12063666937261,34492,mediana_general,49.12073117655593,-9.450718332004726e-05
11,De Aisén del Gral. C. Ibáñez del Campo,48.97308641975309,4050,mediana_general,48.972979672781356,0.00010674697173129744
12,De Magallanes y de La Antártica Chilena,48.72230404189167,6111,mediana_general,48.721757665191014,0.000546376700654605
13,Metropolitana de Santiago,48.89271161759205,299408,mediana_general,48.892653535886865,5.808170518406541e-05
14,De Los Ríos,49.06440010857763,14736,mediana_general,49.06451832211571,-0.00011821353808016966
15,De Arica y Parinacota,49.32655082380481,11107,mediana_general,49.32669789227166,-0.00014706846685186292
16,De Ñuble,48.93631178707224,18936,mediana_general,48.936254558909035,5.722816320741231e-05
1,De Tarapacá,49.15797032072762,18801,mediana_region,49.158518360375744,-0.0005480396481232219
2,De Antofagasta,48.616455563697265,28659,mediana_region,48.61608047221543,0.0003750914818354545
3,De Atacama,49.04070091596974,12555,mediana_region,49.040723621294234,-2.2705324496996582e-05
4,De Coquimbo,48.854019746121295,31196,mediana_region,48.853827636013484,0.00019211010781106097
5,De Valparaíso,48.779545097591274,70037,mediana_region,48.77940020859825,0.0001448889930273367
6,Del Libertador B. O'Higgins,48.680573157799444,38663,mediana_region,48.680374750899354,0.0001984069000897648
7,Del Maule,48.75151191746709,44976,mediana_region,48.75136265545396,0.00014926201313159027
8,Del Bíobío,49.22715235016003,61549,mediana_region,49.226347889729205,0.0008044604308281578
9,De La Araucanía,48.85255981157803,40335,mediana_region,48.85245372897335,0.00010608260468103481
10,De Los Lagos,49.12063666937261,34492,mediana_region,49.12073117655593,-9.450718332004726e-05
11,De Aisén del Gral. C. Ibáñez del Campo,48.97308641975309,4050,mediana_region,48.972979672781356,0.00010674697173129744
12,De Magallanes y de La Antártica Chilena,48.72230404189167,6111,mediana_region,48.721757665191014,0.000546376700654605
13,Metropolitana de Santiago,48.89271161759205,299408,mediana_region,48.892653535886865,5.808170518406541e-05
14,De Los Ríos,49.06440010857763,14736,mediana_region,49.06451832211571,-0.00011821353808016966
15,De Arica y Parinacota,49.327000990366436,11107,mediana_region,49.32669789227166,0.0003030980947755779
16,De Ñuble,48.93631178707224,18936,mediana_region,48.936254558909035,5.722816320741231e-05
