REGION_RESIDENCIA,GLOSA_REGION_RESIDENCIA,variable,nulos,nacimientos,pct_nulos
5,De Valparaíso,OCUPA_PADRE,0,70037,0.0
5,De Valparaíso,CATEG_PADRE,0,70037,0.0
5,De Valparaíso,GRUPO_ETARIO_MADRE,0,70037,0.0
5,De Valparaíso,EST_CIV_MADRE,0,70037,0.0
5,De Valparaíso,CURSO_MADRE,0,70037,0.0
5,De Valparaíso,NIVEL_MADRE,0,70037,0.0
5,De Valparaíso,ACTIV_MADRE,0,70037,0.0
5,De Valparaíso,OCUPA_MADRE,0,70037,0.0
5,De Valparaíso,CATEG_MADRE,0,70037,0.0
5,De Valparaíso,NACIONALIDAD_MADRE,0,70037,0.0
6,Del Libertador B. O'Higgins,MES_NAC,0,38663,0.0
6,Del Libertador B. O'Higgins,ANO_NAC,0,38663,0.0
6,Del Libertador B. O'Higgins,SEXO,0,38663,0.0
6,Del Libertador B. O'Higgins,TIPO_PARTO,0,38663,0.0
6,Del Libertador B. O'Higgins,TIPO_ATEN,0,38663,0.0
6,Del Libertador B. O'Higgins,PARTO_LOCAL,0,38663,0.0
6,Del Libertador B. O'Higgins,SEMANAS,24,38663,0.062074851925613635
6,Del Libertador B. O'Higgins,RANGO_PESO,0,38663,0.0
6,Del Libertador B. O'Higgins,TALLA,24,38663,0.062074851925613635
6,Del Libertador B. O'Higgins,GRUPO_ETARIO_PADRE,0,38663,0.0
6,Del Libertador B. O'Higgins,CURSO_PADRE,0,38663,0.0
6,Del Libertador B. O'Higgins,NIVEL_PADRE,2389,38663,6.179034218762124
6,Del Libertador B. O'Higgins,ACTIV_PADRE,2879,38663,7.446395778910069
6,Del Libertador B. O'Higgins,OCUPA_PADRE,0,38663,0.0
6,Del Libertador B. O'Higgins,CATEG_PADRE,0,38663,0.0
6,Del Libertador B. O'Higgins,GRUPO_ETARIO_MADRE,0,38663,0.0
6,Del Libertador B. O'Higgins,EST_CIV_MADRE,0,38663,0.0
6,Del Libertador B. O'Higgins,CURSO_MADRE,0,38663,0.0
6,Del Libertador B. O'Higgins,NIVEL_MADRE,0,38663,0.0
6,Del Libertador B. O'Higgins,ACTIV_MADRE,0,38663,0.0
6,Del Libertador B. O'Higgins,OCUPA_MADRE,0,38663,0.0
6,Del Libertador B. O'Higgins,CATEG_MADRE,0,38663,0.0
6,Del Libertador B. O'Higgins,NACIONALIDAD_MADRE,0,38663,0.0
7,Del Maule,MES_NAC,0,44976,0.0
7,Del Maule,ANO_NAC,0,44976,0.0
7,Del Maule,SEXO,0,44976,0.0
7,Del Maule,TIPO_PARTO,0,44976,0.0
7,Del Maule,TIPO_ATEN,0,44976,0.0
7,Del Maule,PARTO_LOCAL,0,44976,0.0
7,Del Maule,SEMANAS,25,44976,0.055585200996086805
7,Del Maule,RANGO_PESO,0,44976,0.0
7,Del Maule,TALLA,27,44976,0.06003201707577375
