metodo,n_validos,n_imputados,excluidos_solo_calculo_talla,media_cm,mediana_cm,desv_cm,cambio_desv_pct,asimetria,respaldo_mediana_general
sin_imputar,735014,0,597,48.90549975918826,49.0,2.4022416084460247,0.0,-2.694500947442612,0
media_general,735611,597,0,48.90549975918829,49.0,2.401266615355425,-0.04058680389066316,-2.6955949973475906,0
mediana_general,735611,597,0,48.90557645277191,49.0,2.4012681232445825,-0.04052403380324643,-2.6956856863573235,0
mediana_region,735611,597,0,48.905670252348045,49.0,2.4012913410116083,-0.03955752956219527,-2.695715806638393,0
